Date	Price	Open	High	Low	Vol.	Change %
Jun 23, 2015	148.81	149.59	149.72	148.16	279.52K	-0.61%
Jun 22, 2015	149.72	151.75	151.78	149.34	206.88K	-1.44%
Jun 19, 2015	151.91	150.06	152.19	150.00	221.49K	0.44%
Jun 18, 2015	151.25	152.47	153.31	150.78	3.40K	-0.86%
Jun 17, 2015	152.56	153.00	153.25	151.09	1.10K	-0.25%
Jun 16, 2015	152.94	152.09	153.12	152.00	0.75K	0.54%
Jun 15, 2015	152.12	152.12	153.31	151.72	2.37K	0.08%
Jun 12, 2015	152.00	151.97	153.22	151.50	0.91K	0.08%
Jun 11, 2015	151.88	149.53	152.00	149.09	2.51K	1.61%
Jun 10, 2015	149.47	150.12	150.38	149.03	1.51K	-0.79%
Jun 09, 2015	150.66	151.53	152.00	149.88	2.25K	-0.59%
Jun 08, 2015	151.56	151.25	152.00	151.09	0.90K	0.20%
Jun 05, 2015	151.25	152.75	152.78	150.59	6.46K	-1.09%
Jun 04, 2015	152.91	151.47	153.16	150.19	11.41K	1.10%
Jun 03, 2015	151.25	153.50	153.56	150.88	12.42K	-1.34%
Jun 02, 2015	153.31	155.16	155.41	153.03	15.91K	-1.07%
Jun 01, 2015	154.97	156.53	157.00	154.72	28.94K	-1.41%
May 29, 2015	157.19	156.25	157.38	156.22	56.16K	0.54%
May 28, 2015	156.34	156.62	156.97	156.00	258.83K	-0.14%
May 27, 2015	156.56	156.06	156.75	155.34	404.27K	0.22%
May 26, 2015	156.22	154.12	156.34	153.91	467.21K	2.22%
May 25, 2015	152.82	152.45	153.05	152.39	-	0.25%
May 24, 2015	152.44	152.61	152.61	152.41	-	-0.87%
May 22, 2015	153.78	154.12	154.91	153.47	240.71K	-0.41%
May 21, 2015	154.41	152.78	154.47	152.59	243.30K	1.11%
May 20, 2015	152.72	152.25	153.31	151.91	239.24K	-0.18%
May 19, 2015	153.00	153.25	154.41	151.88	321.72K	-0.31%
May 18, 2015	153.47	155.53	155.53	153.09	213.17K	-1.36%
May 15, 2015	155.59	153.25	155.84	153.19	264.55K	1.69%
May 14, 2015	153.00	152.19	153.56	151.88	345.56K	0.29%
May 13, 2015	152.56	153.66	155.06	152.09	378.28K	-0.67%
May 12, 2015	153.59	153.03	154.28	151.12	353.07K	0.26%
May 11, 2015	153.19	156.03	156.66	152.81	246.86K	-2.07%
May 10, 2015	156.43	156.07	156.45	156.05	-	0.13%
May 08, 2015	156.22	155.75	157.38	155.31	309.59K	0.16%
May 07, 2015	155.97	154.12	156.28	153.00	324.02K	1.08%
May 06, 2015	154.31	155.88	156.16	153.84	298.45K	-1.12%
May 05, 2015	156.06	156.50	157.31	155.38	293.09K	-0.46%
May 04, 2015	156.78	157.69	158.16	156.44	213.11K	-0.53%
May 01, 2015	157.62	158.94	159.81	157.44	179.78K	-1.23%
Apr 30, 2015	159.59	159.78	160.03	158.25	339.04K	-0.18%
Apr 29, 2015	159.88	159.88	161.16	158.69	348.60K	-0.98%
Apr 28, 2015	161.47	162.75	163.03	160.59	229.25K	-0.84%
Apr 27, 2015	162.84	162.78	163.28	161.94	147.94K	0.17%
Apr 24, 2015	162.56	161.66	163.12	161.28	196.94K	0.33%
Apr 23, 2015	162.03	161.41	162.38	161.06	265.14K	0.35%
Apr 22, 2015	161.47	163.47	163.94	160.97	305.87K	-1.17%
Apr 21, 2015	163.38	163.94	164.75	163.22	171.84K	-0.24%
Apr 20, 2015	163.78	164.91	165.34	163.62	192.78K	-1.02%
Apr 17, 2015	165.47	163.66	165.59	163.31	267.77K	0.82%
Apr 16, 2015	164.12	164.41	164.94	163.09	290.54K	0.02%
Apr 15, 2015	164.09	164.47	165.09	163.81	212.25K	-0.18%
Apr 14, 2015	164.38	163.66	165.81	163.59	250.24K	0.56%
Apr 13, 2015	163.47	163.47	163.94	162.59	164.22K	-0.02%
Apr 10, 2015	163.50	163.19	164.38	163.00	171.30K	0.15%
Apr 09, 2015	163.25	164.66	165.34	162.91	233.25K	-1.02%
Apr 08, 2015	164.94	164.88	165.22	163.66	197.04K	0.19%
Apr 07, 2015	164.62	163.94	164.97	163.59	165.01K	0.53%
Apr 06, 2015	163.75	165.75	165.81	163.50	111.64K	-1.21%
Apr 03, 2015	165.75	164.69	166.84	164.28	81.79K	0.72%
Apr 02, 2015	164.56	166.00	166.66	164.28	171.39K	-0.75%
Apr 01, 2015	165.81	164.03	166.34	163.56	230.48K	1.18%
Mar 31, 2015	163.88	163.72	164.16	163.16	208.30K	0.25%
Mar 30, 2015	163.47	164.06	164.34	163.25	147.18K	-0.57%
Mar 27, 2015	164.41	162.84	164.47	162.53	205.30K	1.23%
Mar 26, 2015	162.41	164.34	165.22	162.25	268.04K	-1.29%
Mar 25, 2015	164.53	165.25	165.84	164.25	183.77K	-0.44%
Mar 24, 2015	165.25	163.94	165.50	163.81	196.11K	0.74%
